user_id,crowd_r,crowd_concordance,knn_concordance,eigentaste_concordance,gap_knn_minus_crowd,gap_train_only,crowd_nmae,knn_nmae,train_mean,train_std
19284,0.3933,0.6902,0.6864,0.6992,-0.0039,-0.0628,0.1520,0.1235,-0.809,3.407
5792,0.4300,0.6684,0.6645,0.6645,-0.0039,0.0023,0.1485,0.1321,2.175,3.358
4653,0.1070,0.5045,0.5006,0.4903,-0.0039,0.1174,0.2229,0.1845,-0.719,4.823
14715,0.4672,0.5354,0.5315,0.5560,-0.0039,0.0174,0.2248,0.2280,-0.048,6.325
10197,0.5509,0.7272,0.7233,0.7156,-0.0039,0.0462,0.2303,0.2034,-0.226,5.797
1721,0.2208,0.5573,0.5534,0.5225,-0.0039,-0.0358,0.2475,0.2441,1.240,4.982
1568,0.4284,0.7091,0.7053,0.6860,-0.0039,0.0543,0.0981,0.1056,1.038,3.169
5932,0.4484,0.6268,0.6229,0.6628,-0.0039,0.0421,0.2419,0.1682,-3.582,4.170
15562,0.3936,0.6396,0.6358,0.6808,-0.0039,-0.0428,0.1594,0.1470,0.239,3.982
22909,0.4617,0.6242,0.6203,0.6190,-0.0039,-0.0104,0.2072,0.1960,-0.425,4.380
18927,0.3773,0.6173,0.6134,0.5915,-0.0039,0.0291,0.1705,0.1399,3.055,3.536
3807,0.4109,0.6353,0.6314,0.6456,-0.0039,0.0531,0.2540,0.1764,-3.084,5.225
2534,0.1683,0.5928,0.5889,0.6186,-0.0039,-0.0150,0.2494,0.2416,1.977,5.508
883,0.2763,0.5825,0.5786,0.5477,-0.0039,0.0266,0.1601,0.1126,-1.240,2.041
11034,0.3656,0.5309,0.5271,0.5245,-0.0039,-0.0068,0.2648,0.0947,6.223,4.087
22899,0.6250,0.6031,0.5992,0.6108,-0.0039,0.0359,0.1535,0.1253,1.230,4.232
20787,0.3055,0.6830,0.6791,0.6559,-0.0039,0.0556,0.1400,0.1478,-1.082,3.850
5214,0.5615,0.6232,0.6194,0.6361,-0.0039,0.0115,0.1631,0.1584,0.468,5.444
9698,0.4206,0.5961,0.5923,0.5948,-0.0039,0.0034,0.1498,0.0722,3.915,2.888
4090,0.4459,0.6413,0.6374,0.6503,-0.0039,0.0440,0.1540,0.1250,2.314,3.470
4986,0.6535,0.6761,0.6723,0.6981,-0.0039,0.0346,0.1150,0.1210,-0.363,4.764
8419,0.5946,0.7829,0.7791,0.7209,-0.0039,0.0266,0.3542,0.1913,-4.176,5.897
15292,0.4441,0.6796,0.6757,0.6654,-0.0039,0.0359,0.2133,0.1007,4.543,3.446
6662,0.2289,0.5504,0.5465,0.5349,-0.0039,0.0440,0.2420,0.2363,0.320,5.673
6310,0.4268,0.6318,0.6279,0.5904,-0.0039,0.0139,0.1704,0.1358,1.723,3.979
19862,0.5170,0.6313,0.6274,0.6261,-0.0039,-0.0427,0.1119,0.1013,1.107,3.157
16813,0.4141,0.6882,0.6843,0.6934,-0.0039,0.0434,0.1731,0.1300,-1.495,3.964
12126,0.5142,0.6274,0.6235,0.6261,-0.0039,0.0232,0.0798,0.0601,2.049,2.033
941,0.4897,0.6869,0.6831,0.6494,-0.0039,-0.0255,0.2536,0.1024,6.002,3.710
22321,0.4871,0.5816,0.5777,0.5777,-0.0039,-0.0115,0.1816,0.1852,0.732,5.315
10246,0.4342,0.7461,0.7422,0.6878,-0.0039,-0.0231,0.1377,0.0958,2.427,3.440
24916,0.3606,0.6930,0.6891,0.6762,-0.0039,0.0616,0.1519,0.0574,3.539,1.983
527,0.4135,0.7137,0.7098,0.6645,-0.0039,0.0243,0.1740,0.1652,3.046,4.352
7081,0.1913,0.5720,0.5681,0.5966,-0.0039,0.0624,0.1217,0.1094,-0.576,3.135
10327,0.5846,0.5655,0.5616,0.5629,-0.0039,0.0115,0.0963,0.1111,0.868,3.463
3127,0.2381,0.5774,0.5735,0.5800,-0.0039,0.0161,0.4267,0.2356,-4.654,6.226
8532,0.6036,0.6983,0.6944,0.6775,-0.0039,0.0197,0.0553,0.0926,0.863,1.411
6030,0.4576,0.6177,0.6138,0.6398,-0.0039,0.0554,0.1795,0.0850,3.246,3.645
334,0.1618,0.5196,0.5157,0.4332,-0.0039,0.0739,0.2006,0.1819,1.560,4.701
18602,0.4963,0.6029,0.5990,0.6317,-0.0039,0.0154,0.2950,0.2242,-3.392,5.133
16356,0.4414,0.6754,0.6715,0.6018,-0.0039,0.0212,0.3117,0.1713,4.167,6.300
8306,0.3417,0.6382,0.6342,0.6566,-0.0039,0.0646,0.2126,0.1052,3.847,4.026
22798,0.3084,0.7115,0.7075,0.6509,-0.0040,-0.0289,0.1437,0.1298,-2.231,3.306
23448,0.2111,0.5280,0.5239,0.5034,-0.0041,0.0984,0.2781,0.0472,6.181,2.797
2733,0.4959,0.6167,0.6115,0.6192,-0.0051,-0.0173,0.2373,0.1694,-2.650,4.223
24896,0.2254,0.5910,0.5859,0.5962,-0.0051,0.0726,0.1953,0.1817,1.457,5.438
10042,0.6432,0.7163,0.7112,0.7035,-0.0051,0.0127,0.1496,0.1445,1.194,4.926
14188,0.3390,0.5982,0.5931,0.6059,-0.0051,0.0346,0.2189,0.2156,0.849,4.788
3717,0.4885,0.7317,0.7266,0.7574,-0.0051,0.0196,0.1775,0.1776,-0.545,4.758
3582,0.3033,0.6149,0.6098,0.5982,-0.0051,0.0530,0.2074,0.1694,-1.028,4.559
4730,0.6122,0.7147,0.7095,0.6478,-0.0051,0.0023,0.2186,0.2159,-2.412,6.346
4398,0.3699,0.5874,0.5823,0.6350,-0.0051,0.0524,0.2981,0.1162,-4.479,2.985
12823,0.4030,0.6774,0.6722,0.6517,-0.0051,-0.0139,0.1090,0.1173,0.863,3.917
19904,0.4879,0.6838,0.6787,0.6967,-0.0051,-0.0230,0.1731,0.1603,0.541,5.360
20717,-0.0194,0.3560,0.3509,0.3393,-0.0051,0.0268,0.2279,0.1248,3.801,4.262
12211,0.5989,0.6452,0.6401,0.6542,-0.0051,0.0000,0.1923,0.1531,1.970,4.736
16730,0.5255,0.5959,0.5907,0.5779,-0.0051,-0.0173,0.1154,0.1178,-0.989,4.207
3960,0.2815,0.4762,0.4710,0.5148,-0.0051,0.0325,0.1514,0.1402,0.258,3.433
9539,0.5876,0.6692,0.6641,0.6461,-0.0051,-0.0186,0.0945,0.1074,1.341,2.769
19776,0.2234,0.5560,0.5508,0.5431,-0.0051,0.0150,0.1846,0.1799,-0.513,4.978
12610,0.4917,0.6422,0.6371,0.6435,-0.0051,-0.0104,0.1934,0.1866,-0.368,4.871
21117,0.3023,0.6885,0.6834,0.7284,-0.0051,0.0289,0.2298,0.2278,1.647,5.737
10121,0.5326,0.6602,0.6551,0.6358,-0.0051,-0.0057,0.2256,0.1370,-2.648,4.129
13651,0.4277,0.5972,0.5920,0.5894,-0.0051,-0.0046,0.2037,0.1559,3.737,4.112
2382,0.1468,0.5225,0.5174,0.5045,-0.0051,0.1288,0.2509,0.1831,3.508,4.161
2554,0.3207,0.5580,0.5528,0.5619,-0.0052,-0.0288,0.1905,0.1549,3.393,3.931
13020,0.3417,0.6392,0.6340,0.6443,-0.0052,0.0380,0.1447,0.1436,-0.572,4.142
22338,0.3468,0.6186,0.6134,0.6134,-0.0052,-0.0369,0.2085,0.1670,-1.837,4.479
20557,0.4039,0.5709,0.5657,0.5361,-0.0052,0.0012,0.2401,0.2137,1.713,5.612
23810,0.3593,0.6224,0.6173,0.6340,-0.0052,0.0140,0.1767,0.1105,3.841,3.225
18875,0.5252,0.6534,0.6482,0.6366,-0.0052,0.0693,0.1697,0.1570,1.429,4.323
12025,0.3324,0.6418,0.6366,0.6637,-0.0052,-0.0080,0.2676,0.2311,2.686,5.459
6937,0.5868,0.6942,0.6890,0.6761,-0.0052,0.0173,0.2681,0.1615,3.578,4.888
11147,0.5964,0.6916,0.6865,0.6748,-0.0052,-0.0325,0.0791,0.0921,2.095,2.183
16435,0.3195,0.5504,0.5452,0.5220,-0.0052,0.0058,0.1160,0.0822,2.412,2.417
17896,0.5864,0.7649,0.7597,0.7984,-0.0052,0.0755,0.2024,0.1649,-2.094,4.790
7663,0.4047,0.6822,0.6770,0.6550,-0.0052,0.0127,0.1748,0.1735,2.314,4.820
12488,0.5244,0.5995,0.5943,0.6176,-0.0052,-0.0104,0.2083,0.1313,2.743,4.407
24254,0.3578,0.7132,0.7080,0.7041,-0.0052,0.0693,0.3170,0.0991,-4.644,3.910
22409,0.5630,0.7080,0.7028,0.6783,-0.0052,-0.0011,0.2174,0.1881,2.948,5.015
17617,0.2106,0.6395,0.6344,0.6705,-0.0052,0.1303,0.1415,0.1398,2.700,4.387
24011,0.4523,0.7455,0.7403,0.7339,-0.0052,0.0785,0.1094,0.1016,1.424,3.478
17547,0.3250,0.6391,0.6339,0.6572,-0.0052,0.0244,0.1157,0.0955,-0.736,2.112
23983,0.5310,0.6192,0.6140,0.6244,-0.0052,0.0140,0.3124,0.2909,0.167,7.625
19874,0.3688,0.7085,0.7034,0.6852,-0.0052,0.0579,0.1566,0.1239,-1.113,3.167
2861,0.0157,0.5311,0.5259,0.5181,-0.0052,0.0695,0.3212,0.1443,-3.531,3.496
13339,0.4230,0.6295,0.6244,0.6179,-0.0052,0.0116,0.0953,0.0882,-0.140,2.843
8057,0.4003,0.6835,0.6783,0.6874,-0.0052,0.0256,0.2907,0.2448,-1.420,5.744
9980,0.4743,0.6031,0.5979,0.5720,-0.0052,-0.0232,0.2911,0.1526,4.624,5.046
934,0.3951,0.6757,0.6706,0.6744,-0.0052,-0.0289,0.1180,0.1212,0.986,3.460
19167,0.5996,0.7403,0.7351,0.7286,-0.0052,0.0163,0.1668,0.1570,0.594,4.693
8599,0.2738,0.6442,0.6390,0.6468,-0.0052,-0.0048,0.1277,0.1328,1.073,3.033
6678,0.1521,0.4974,0.4922,0.4544,-0.0052,-0.0232,0.3188,0.1763,4.877,5.658
18380,0.1297,0.4948,0.4896,0.5183,-0.0052,-0.0465,0.3186,0.2410,3.611,5.563
9268,0.4640,0.5653,0.5601,0.5666,-0.0052,-0.0081,0.1551,0.1193,-2.212,2.600
11225,0.2108,0.5099,0.5046,0.4744,-0.0053,0.0392,0.3020,0.0957,7.571,1.066
5662,0.4696,0.6203,0.6146,0.5879,-0.0056,0.0059,0.2277,0.1330,3.621,4.137
23338,0.4694,0.7434,0.7375,0.7581,-0.0059,0.0657,0.3202,0.1397,-5.363,4.046
14569,0.6165,0.7205,0.7141,0.6359,-0.0064,-0.0338,0.2120,0.1714,3.341,5.544
1233,0.4678,0.6906,0.6842,0.6791,-0.0064,0.0161,0.1339,0.1233,0.007,4.676
13163,0.2861,0.5815,0.5751,0.5610,-0.0064,-0.0069,0.1667,0.1576,2.183,3.457
6952,0.4960,0.6842,0.6778,0.6919,-0.0064,0.0127,0.1991,0.1621,-1.643,4.197
6351,0.3816,0.6015,0.5951,0.5668,-0.0064,-0.0058,0.1952,0.1933,0.311,4.931
11932,0.4281,0.5925,0.5861,0.5925,-0.0064,-0.0393,0.1646,0.1538,-0.344,4.261
5812,0.5454,0.6825,0.6761,0.6774,-0.0064,-0.0288,0.1573,0.1493,0.567,4.758
20700,0.1884,0.5797,0.5733,0.5411,-0.0064,0.0760,0.1999,0.1988,0.835,5.343
17611,0.2722,0.5656,0.5591,0.5784,-0.0064,0.0381,0.1644,0.1643,1.500,4.563
23980,0.2189,0.6298,0.6234,0.6247,-0.0064,0.1240,0.1096,0.1144,0.199,3.318
10394,0.3614,0.6877,0.6812,0.6452,-0.0064,0.0600,0.1911,0.1653,-0.586,5.341
23874,0.5319,0.6718,0.6654,0.6486,-0.0064,-0.0023,0.1683,0.1498,-1.125,4.576
20548,0.5281,0.7001,0.6937,0.6731,-0.0064,-0.0081,0.2660,0.1873,4.162,5.453
16155,0.2517,0.5714,0.5650,0.6023,-0.0064,-0.0138,0.1289,0.1354,0.665,3.809
749,0.2126,0.5753,0.5689,0.5367,-0.0064,0.0370,0.1684,0.1751,0.063,4.663
20416,0.4483,0.6667,0.6602,0.6525,-0.0064,-0.0231,0.1345,0.1280,2.197,3.411
83,0.2015,0.6165,0.6100,0.5869,-0.0064,0.0358,0.2924,0.2825,-0.933,7.107
17013,0.5561,0.6538,0.6474,0.6268,-0.0064,0.0208,0.1696,0.1600,2.389,4.844
24922,0.5072,0.6963,0.6898,0.6396,-0.0064,0.0380,0.1814,0.1690,-0.241,5.885
11397,0.5205,0.6495,0.6430,0.6482,-0.0064,-0.0058,0.0834,0.0883,0.465,2.431
16193,0.3967,0.6379,0.6314,0.6572,-0.0064,-0.0222,0.1630,0.1331,-2.252,4.198
5479,0.5341,0.7397,0.7332,0.7191,-0.0064,0.0335,0.1771,0.1228,-1.890,4.295
17838,0.4093,0.6469,0.6405,0.6559,-0.0064,0.0115,0.2486,0.2381,0.473,5.373
15153,0.4236,0.6606,0.6542,0.6774,-0.0065,0.0543,0.2117,0.2055,0.591,4.985
19978,0.5080,0.6890,0.6826,0.7084,-0.0065,0.0277,0.2311,0.2115,1.378,6.118
